Id,X  [mm],Y  [mm],Z  [mm],rx,ry,rz,w
1, 185.493, -280.393, -1779.05, -0.444253, -0.793607, -0.126527, 0.396002
2, 194.706, -281.782, -1749.95, -0.423029, -0.737644, -0.231936, 0.472371
3, 176.249, -258.79, -1719.86, -0.288896, -0.570308, -0.326682, 0.696108
4, 215.394, -310.188, -1685.08, -0.162162, -0.278051, -0.51083, 0.797148
5, 52.3492, -207.246, -1780.47, -0.220345, -0.171725, -0.0762255, 0.957156
6, 119.985, -289.293, -1873.6, -0.496667, -0.371247, -0.105507, 0.77741
7, 158.999, -279.38, -1826.54, -0.457465, -0.557128, -0.150763, 0.676465
8, 191.695, -278.743, -1754.49, -0.38453, -0.582847, -0.298904, 0.650448
9, 181.051, -276.772, -1649.92, -0.23488, -0.668973, -0.422301, 0.564773
10, 107.199, -262.456, -1579.77, 0.00143955, -0.676868, -0.430992, 0.596736
11, 47.7203, -235.656, -1589.08, 0.0718488, -0.748043, -0.332369, 0.569913
12, 22.7161, -210.501, -1634.34, 0.0648412, -0.693952, -0.197205, 0.689446
13, 46.7223, -205.339, -1657.19, 0.0103635, -0.51918, -0.170363, 0.837449
14, 85.484, -206.506, -1704.97, -0.125871, -0.571007, -0.185185, 0.789819
15, -129.003, -246.119, -1706.06, 0.208207, -0.699643, 0.147105, 0.667465
