Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Target;Temperature  [°C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;950.185;-1765.477;-408.931;0.002 (Maximum: 0.060 mm);0.001;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:12:12.215;;
2;883.328;-1779.218;-379.046;0.002 (Maximum: 0.059 mm);0.001;0.001;0.001;RRR 1.5in;22.4;1018;60;'16.12.2024 15:12:49.124;;
3;828.862;-1803.789;-333.277;0.003 (Maximum: 0.059 mm);0.002;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:13:22.255;;
4;789.046;-1840.449;-266.557;0.002 (Maximum: 0.059 mm);0.002;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:13:56.663;;
5;770.951;-1893.444;-181.085;0.003 (Maximum: 0.060 mm);0.003;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:14:30.777;;
6;800.852;-1949.377;-105.187;0.004 (Maximum: 0.061 mm);0.002;0.001;0.003;RRR 1.5in;22.4;1018;60;'16.12.2024 15:15:04.435;;
7;821.326;-1987.366;-89.534;0.007 (Maximum: 0.061 mm);0.003;0.006;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:15:39.783;;
8;781.230;-1833.090;-223.708;0.003 (Maximum: 0.059 mm);0.002;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:16:17.454;;
9;798.253;-1814.031;-125.965;0.004 (Maximum: 0.059 mm);0.002;0.001;0.003;RRR 1.5in;22.4;1018;60;'16.12.2024 15:16:55.579;;
10;823.891;-1893.596;-62.311;0.003 (Maximum: 0.060 mm);0.002;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:17:32.079;;
11;875.562;-1875.000;-11.435;0.008 (Maximum: 0.060 mm);0.004;0.002;0.006;RRR 1.5in;22.4;1018;60;'16.12.2024 15:18:03.026;;
12;913.880;-1868.159;9.060;0.004 (Maximum: 0.060 mm);0.003;0.002;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:18:36.717;;
13;821.730;-1825.496;-80.997;0.004 (Maximum: 0.059 mm);0.002;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:19:13.398;;
14;786.697;-1875.030;-135.700;0.004 (Maximum: 0.060 mm);0.003;0.001;0.002;RRR 1.5in;22.4;1018;60;'16.12.2024 15:19:59.106;;
15;795.950;-1773.743;-222.063;0.003 (Maximum: 0.059 mm);0.002;0.001;0.002;RRR 1.5in;22.6;1018;60;'16.12.2024 15:20:30.700;;
16;912.445;-1665.396;-285.934;0.002 (Maximum: 0.058 mm);0.001;0.001;0.002;RRR 1.5in;22.6;1018;60;'16.12.2024 15:21:02.189;;
17;952.736;-1636.138;-259.603;0.006 (Maximum: 0.058 mm);0.003;0.005;0.002;RRR 1.5in;22.6;1018;60;'16.12.2024 15:21:47.427;;
18;1010.613;-1678.315;-345.259;0.003 (Maximum: 0.059 mm);0.001;0.001;0.002;RRR 1.5in;22.6;1018;60;'16.12.2024 15:22:13.758;;
19;1065.839;-1666.766;-313.850;0.002 (Maximum: 0.059 mm);0.001;0.001;0.002;RRR 1.5in;22.6;1018;60;'16.12.2024 15:22:59.480;;
20;1189.131;-1748.053;-296.821;0.005 (Maximum: 0.061 mm);0.003;0.002;0.003;RRR 1.5in;22.6;1018;60;'16.12.2024 15:23:25.845;;
